altitude_km,panel_area_m2,battery_wh,survived,station_keeping_feasible,energy_starved,lifetime_years,total_dv_ms,prop_used_g,mean_soc_pct
400,0.03,20,False,False,True,2.481,0.0,0.0,70.0
400,0.03,40,False,False,True,2.481,0.0,0.0,70.0
400,0.03,80,False,False,True,2.481,0.0,0.0,70.0
400,0.06,20,False,False,True,2.481,0.0,0.0,70.0
400,0.06,40,False,False,True,2.481,0.0,0.0,70.0
400,0.06,80,False,False,True,2.481,0.0,0.0,70.0
400,0.09,20,True,True,False,5.0,51.837,14.443,100.0
400,0.09,40,True,True,False,5.0,51.837,14.443,100.0
400,0.09,80,True,True,False,5.0,51.837,14.443,100.0
400,0.12,20,True,True,False,5.0,51.837,14.443,100.0
400,0.12,40,True,True,False,5.0,51.837,14.443,100.0
400,0.12,80,True,True,False,5.0,51.837,14.443,100.0
450,0.03,20,True,False,True,5.0,0.0,0.0,70.0
450,0.03,40,True,False,True,5.0,0.0,0.0,70.0
450,0.03,80,True,False,True,5.0,0.0,0.0,70.0
450,0.06,20,True,False,True,5.0,0.0,0.0,70.0
450,0.06,40,True,False,True,5.0,0.0,0.0,70.0
450,0.06,80,True,False,True,5.0,0.0,0.0,70.0
450,0.09,20,True,True,False,5.0,17.961,5.004,100.0
450,0.09,40,True,True,False,5.0,17.961,5.004,100.0
450,0.09,80,True,True,False,5.0,17.961,5.004,100.0
450,0.12,20,True,True,False,5.0,17.961,5.004,100.0
450,0.12,40,True,True,False,5.0,17.961,5.004,100.0
450,0.12,80,True,True,False,5.0,17.961,5.004,100.0
500,0.03,20,True,False,True,5.0,0.0,0.0,70.0
500,0.03,40,True,False,True,5.0,0.0,0.0,70.0
500,0.03,80,True,False,True,5.0,0.0,0.0,70.0
500,0.06,20,True,False,True,5.0,0.0,0.0,70.0
500,0.06,40,True,False,True,5.0,0.0,0.0,70.0
500,0.06,80,True,False,True,5.0,0.0,0.0,70.0
500,0.09,20,True,True,False,5.0,6.361,1.772,100.0
500,0.09,40,True,True,False,5.0,6.361,1.772,100.0
500,0.09,80,True,True,False,5.0,6.361,1.772,100.0
500,0.12,20,True,True,False,5.0,6.361,1.772,100.0
500,0.12,40,True,True,False,5.0,6.361,1.772,100.0
500,0.12,80,True,True,False,5.0,6.361,1.772,100.0
550,0.03,20,True,False,True,5.0,0.0,0.0,70.0
550,0.03,40,True,False,True,5.0,0.0,0.0,70.0
550,0.03,80,True,False,True,5.0,0.0,0.0,70.0
550,0.06,20,True,False,True,5.0,0.0,0.0,70.0
550,0.06,40,True,False,True,5.0,0.0,0.0,70.0
550,0.06,80,True,False,True,5.0,0.0,0.0,70.0
550,0.09,20,True,True,False,5.0,2.314,0.645,100.0
550,0.09,40,True,True,False,5.0,2.314,0.645,100.0
550,0.09,80,True,True,False,5.0,2.314,0.645,100.0
550,0.12,20,True,True,False,5.0,2.314,0.645,100.0
550,0.12,40,True,True,False,5.0,2.314,0.645,100.0
550,0.12,80,True,True,False,5.0,2.314,0.645,100.0
600,0.03,20,True,False,True,5.0,0.0,0.0,70.0
600,0.03,40,True,False,True,5.0,0.0,0.0,70.0
600,0.03,80,True,False,True,5.0,0.0,0.0,70.0
600,0.06,20,True,False,True,5.0,0.0,0.0,70.0
600,0.06,40,True,False,True,5.0,0.0,0.0,70.0
600,0.06,80,True,False,True,5.0,0.0,0.0,70.0
600,0.09,20,True,True,False,5.0,0.862,0.24,100.0
600,0.09,40,True,True,False,5.0,0.862,0.24,100.0
600,0.09,80,True,True,False,5.0,0.862,0.24,100.0
600,0.12,20,True,True,False,5.0,0.862,0.24,100.0
600,0.12,40,True,True,False,5.0,0.862,0.24,100.0
600,0.12,80,True,True,False,5.0,0.862,0.24,100.0
